BAP_No,Location,Country,Facility_Type,Species,Expiration,Rating
F10630B,"Freshwater Farms LLC - Cluster 1 - Potter & Llyod, LLC",United States,farm,Catfish,3/20/2015,
F10632D,Apex Frozen Foods Pvt Ltd IOM 1 - Narasapurapeta,India,farm,Shrimp,5/5/2015,
F10647A,Wellcome Fisheries IOM 4 - Kollaparru Farm,India,farm,Shrimp,4/18/2015,
F10652A,"Blue Shell S.A. Multi Cluster Zone 1 - Lin Lin 1, 2 and 3",Chile,molluskfarm,Mussels,4/7/2015,
F10697,"Hainan Biyue Agriculture Development Co., Ltd",China,farm,Tilapia,7/19/2015,
F10699A,Good Luck - Cluster 5 - Wongwon Farm 1,Thailand,farm,Shrimp,7/17/2015,
F10003,"SeaJoy Group - Biomar, S.A.; Berberia, S.A.; Inexa, S.A.",Honduras,farm,Shrimp,7/14/2015,
F10004,SeaJoy Group - Aquacultura Foncesa S.A.,Honduras,farm,Shrimp,7/14/2015,
F10073,"Dianbai Shengxing Foods Co., Ltd. - Maoming Changxing Culture (Gaopo)",China,farm,Tilapia,2/11/2015,
F10137,Rachan Farm,Thailand,farm,Shrimp,2/25/2015,
F10193A,"Aquacorporacion Internacional, S.A. Cluster 1 - Finca Madre",Costa Rica,farm,Tilapia,1/17/2016,
F10215A,Beaver Street - Marine Gold - Thai Shrimp Farm Group 1 - Srisuban Farm 1,Thailand,farm,Shrimp,10/26/2014,
F10228,Thuan Phuoc Seafood and Trading Corporation Farm,Viet Nam,farm,Shrimp,3/29/2015,
F10257,Finca Ixtan - Chapan Shrimp Farm - Novaguatemala S.A. (Pesca Nova),Guatemala,farm,Shrimp,5/30/2015,
F10266H,Northern Harvest Sea Farms - Cluster - Bar Island Sea Farm,Canada,salmonfarm,Salmon,fallow,
F10267C,Cermaq Canada Ltd. - Sir Edmund Bay,Canada,salmonfarm,Salmon,fallow,
F10267F,Cermaq Canada Ltd. - Westside,Canada,salmonfarm,Salmon,fallow,
F10268I,"Grieg Seafood BC, Ltd. Module 1 - Williamson Passage - West",Canada,salmonfarm,Salmon,fallow,
F10268Q,"Greig Seafood BC, Ltd. Module 1 - Wa-kwa",Chile,salmonfarm,Salmon,fallow,
F10273B,"Salmones Camanchaca, S.A. - Pilpilehue Farm",Chile,salmonfarm,Salmon,fallow,
F10290B,Marine Harvest Canada Inc. - Group Program - Phillips Arm Site,Canada,salmonfarm,Salmon,12/19/2014,
F10290D,Marine Harvest Canada Inc. - Group Program - Sonora Point,Canada,salmonfarm,Salmon,12/19/2014,
F10290G,Marine Harvest Canada Inc. - Group Program - Sheep Passage,Canada,salmonfarm,Salmon,12/19/2014,
F10290S,Marine Harvest Canada Inc. - Group Program - Hardwicke Island,Canada,salmonfarm,Salmon,12/19/2014,
F10290V,Marine Harvest Canada Inc. - Group Program - Wicklow Point,Canada,salmonfarm,Salmon,12/19/2014,
F10296K,Northern Harvest Sea Farms NL Ltd. - Steamers Head,Canada,salmonfarm,Salmon,10/10/2015,
F10296M,Northern Harvest Sea Farms NL Ltd. - Cluster - Deep Water Point,Canada,salmonfarm,Salmon,fallow,
F10296N,Northern Harvest Sea Farms NL Ltd. - Cluster - Little Burdock,Canada,salmonfarm,Salmon,fallow,
F10296S,Northern Harvest Sea Farms NL Ltd. - McGrath Cove North,Canada,salmonfarm,Salmon,10/10/2015,
F10302D,Cooke Aquaculture Chile S.A. - Cluster - Punta Caldera,Chile,salmonfarm,Salmon,8/29/2015,
F10302L,Cooke Aquaculture Chile S.A. - Cluster - Huillines 02,Chile,salmonfarm,Salmon,fallow,
F10311B,Mount Cook Alpine Salmon Ltd. - Ohau Farm,New Zealand,farm,Salmon,8/23/2015,
F10328I,Salmones Blumar S.A. - Cluster - 704 Dring 1,Chile,salmonfarm,Salmon,7/24/2015,
F10328M,Salmones Blumar S.A. - Cluster - 664 Orestes,Chile,salmonfarm,Salmon,7/24/2015,
F10340,"Zhanjiang Allied Pacific Aquaculture Co., Ltd. - DongNan Farm",China,farm,Shrimp,10/12/2015,
F10350H,Asvini Fisheries Private Limited IOM 1 - Potluri Srinivas,India,farm,Shrimp,6/7/2015,
F10363B,"Associated Farm IOM 1 of Sagar Grandhi Exports Pvt., Ltd.  - Mr. Devaram Balarami Ravi Reddy",India,farm,Shrimp,7/24/2015,
F10363D,"Associated Farm IOM 1 of Sagar Grandhi Exports Pvt., Ltd. - M/s. Lotus Sea Farms",India,farm,Shrimp,7/24/2015,
F10373E,Cultivos Yadran S.A. - Simpson Farm,Chile,salmonfarm,Salmon,fallow,
F10373I,Cultivos Yadran S.A. - Rowlett 737 Farm,Chile,salmonfarm,Salmon,fallow,
F10387,Vo Hong Ngoan's Farm,Viet Nam,farm,Shrimp,10/15/2015,
F10388B,Thai Union Group PCL _IOM Group 2 - Napaya Farm,Thailand,farm,Shrimp,4/4/2015,
F10388D,Thai Union Group PCL_IOM Group 2 - Torsaeng,Thailand,farm,Shrimp,4/4/2015,
F10388E,Thai Union Farm IOM Group 2 - Tuonglarp Farm,Thailand,farm,Shrimp,4/4/2015,
F10399,UTXICO Shrimp Farming Area - Farm 1,Viet Nam,farm,Shrimp,2/6/2015,
F10413C,Choice Canning Company IOM Farm 1 - Geekay Farm,India,farm,Shrimp,5/5/2015,
F10425G,Penver Products Private Limited IOM 1 - Jaganmohan Rao,India,farm,Shrimp,6/11/2015,
F10450C,East Asia Aquaculture Cluster 1 - Nai Yong,Thailand,farm,Shrimp,6/24/2015,
F10457C,Prince Edward Aqua Farms - Cluster 1 - Cardigan Bay,Canada,molluskfarm,Mussels,1/8/2015,
F10465,NGOC Tung Company Limited - Gallant Ocean Vietnam,Viet Nam,farm,Shrimp,11/27/2014,
F10470,Dingan Zhonggongtang Reservoir Tilapia Farm,China,farm,Tilapia,1/11/2015,
F10474,Ban Island,Viet Nam,farm,Pangasius,1/21/2015,
F10505,Sprint Exports Private Limited - Farm,India,farm,Shrimp,7/11/2015,
F10507C,Jagadeesh Marine Exports Ltd. - Krovidi Nagendra Prasad,India,farm,Shrimp,8/24/2015,
F10517,"Fuqing Huawang Agriculture Comprehensive Development Co., Ltd.",China,farm,Shrimp,9/14/2015,
F10518B,Promarisco - Quinonez Farm,Ecuador,farm,Shrimp,10/22/2015,
F10532I,Good Luck - Cluster 6 - Bunsong Farm,Thailand,farm,Shrimp,6/4/2015,
F10533AL,Exportadora Los Fiordos Cluster Farms - Lalanca,Chile,salmonfarm,Salmon,3/25/2015,
F10533C,Exportadora Los Fiordos - Cluster - Valverde 3,Chile,salmonfarm,Salmon,8/22/2015,
F10533F,Exportadora Los Fiordos - Cluster - Ninualac,Chile,salmonfarm,Salmon,fallow,
F10533Q,Exportadora Los Fiordos - Cluster- Cuptana 7,Chile,salmonfarm,Salmon,fallow,
F10533Z,Exportadora Los Fiordos Cluster Farms - Elena,Chile,salmonfarm,Salmon,6/12/2015,
F10539,Multiexport Foods - Arbolito,Chile,salmonfarm,Salmon,fallow,
F10547B,Stapimex - Sunnyvale - Hoa Nghia Farm Group 1 - Nguyen Van Nhu,Viet Nam,farm,Shrimp,1/6/2015,
F10553A,Seaprimexco IOM 1- Doan Ngoc Son,Viet Nam,farm,Shrimp,11/21/2014,
F10575K,Empresas AquaChile - Cluster - Punta Paula,Chile,salmonfarm,Salmon,fallow,
F10575M,Empresas AquaChile - Cluster - Caleta Madina,Chile,salmonfarm,Salmon,fallow,
